date,platform,content_type,post_id,followers,impressions,likes,shares,comments,ad_spend_usd,hashtag,clicks,revenue_usd,leads,customers,avg_order_value,avg_orders_per_year,avg_cust_lifespan
12-04-2024,Twitter,Video,POST00000,5648,36676,285,366,491,67.19,#branding,5504,115.73,141,236,120.34,9,2.4
28-06-2024,Twitter,Story,POST00001,34623,42020,2557,849,416,148.42,#growth,1445,661.84,487,25,79.31,3,1.65
02-04-2024,Instagram,Reel,POST00002,36634,26175,2774,65,75,123.18,#growth,2690,287.31,312,72,109.01,9,1.75
15-01-2024,LinkedIn,Reel,POST00003,45602,18787,346,969,176,110.7,#growth,2132,413.2,70,336,78.22,11,4.95
16-04-2024,TikTok,Live,POST00004,4112,674,1983,812,183,208.52,#marketing,100,875.89,133,491,65.63,1,3.73
12-03-2024,Twitter,Live,POST00005,23054,92768,2989,369,318,353.5,#marketing,11846,1040.74,141,136,173.43,1,3.43
21-01-2024,Instagram,Reel,POST00006,5492,35498,4586,174,130,112.64,#digital,218,486.34,239,103,174.17,2,2.95
12-04-2024,TikTok,Live,POST00007,23207,53812,3978,830,362,186.51,#socialmedia,645,285.25,77,367,139.62,11,1.99
01-05-2024,LinkedIn,Story,POST00008,16114,12612,920,587,48,198.5,#socialmedia,1138,1053.96,143,63,81.37,6,3.83
15-03-2024,Twitter,Image,POST00009,35285,75725,2006,494,54,488.35,#branding,12619,1281.41,415,248,188.99,11,4.95
28-03-2024,TikTok,Story,POST00010,17018,45314,3139,972,153,477.56,#growth,3331,1605.44,76,136,21.8,9,1.78
26-04-2024,TikTok,Reel,POST00011,22386,85591,4214,113,354,401.07,#marketing,1935,1068.06,320,185,178.96,8,1.66
09-04-2024,TikTok,Reel,POST00012,18740,51219,3767,110,199,124.62,#branding,6820,515.86,377,437,27.1,6,3.73
13-04-2024,Twitter,Story,POST00013,45199,34419,337,760,307,38.68,#branding,4553,201.32,244,255,100.65,1,1.4
31-05-2024,Twitter,Live,POST00014,9210,73655,1809,438,355,161.87,#marketing,8726,751.86,457,479,197.49,6,1.18
10-05-2024,Facebook,Live,POST00015,45363,72069,324,714,372,137.06,#socialmedia,459,326.08,334,322,186.89,5,4.79
29-05-2024,LinkedIn,Reel,POST00016,46639,41828,3555,146,117,255.43,#growth,7143,1008.63,100,323,160.97,8,1.54
22-02-2024,Instagram,Video,POST00017,13743,70982,1144,34,262,389.98,#socialmedia,9596,1277.59,265,443,88.54,2,4.61
02-01-2024,TikTok,Live,POST00018,43092,25118,2756,998,45,429.87,#branding,3606,1103.95,315,437,82.41,6,3.4
28-03-2024,Facebook,Story,POST00019,45299,35175,4886,308,301,423.21,#growth,3310,2043.76,334,357,36.23,2,1.85
06-06-2024,Instagram,Live,POST00020,7588,19419,1530,537,355,183.04,#digital,3461,975.63,243,137,185.67,6,2.8
07-02-2024,Facebook,Story,POST00021,4311,4673,165,749,399,345.18,#branding,265,1162.14,344,499,27.91,3,2.65
09-05-2024,Twitter,Reel,POST00022,23432,26900,1734,13,407,159.85,#socialmedia,1888,720.26,374,464,77.08,7,2.12
21-01-2024,TikTok,Live,POST00023,34755,50945,3353,373,188,35.15,#socialmedia,2707,124.19,299,307,57.53,3,3.09
09-06-2024,Instagram,Story,POST00024,4321,70805,896,556,309,352.27,#socialmedia,10709,1686.04,496,336,147.46,1,1.95
27-02-2024,Instagram,Reel,POST00025,16812,38064,3083,427,317,9.86,#marketing,366,20.19,63,261,34.42,11,4.32
22-01-2024,Instagram,Video,POST00026,38383,46314,2815,727,128,207.55,#branding,6177,725.55,264,490,56.69,5,2.11
29-03-2024,Instagram,Story,POST00027,49280,80247,731,232,48,168.04,#growth,1053,899.32,127,435,113.24,10,2.38
18-02-2024,Instagram,Video,POST00028,14146,89291,922,704,24,348.22,#socialmedia,6307,577.15,241,194,134.5,2,1.46
28-02-2024,Facebook,Video,POST00029,14654,28462,3367,562,265,384.29,#socialmedia,2967,1415.01,423,451,167.78,5,3.54
18-06-2024,TikTok,Image,POST00030,36820,85392,880,938,117,155.53,#marketing,12133,622.13,389,213,186.52,11,1.05
15-01-2024,Twitter,Live,POST00031,1726,86342,4118,886,463,406.76,#growth,3390,2438.46,437,20,95.84,3,1.42
23-06-2024,Twitter,Story,POST00032,4760,71033,507,725,143,150.49,#branding,13975,675.02,124,232,61.27,7,4.61
20-02-2024,Twitter,Video,POST00033,23190,56684,1766,662,441,225.93,#digital,4815,1216.86,201,221,20.07,4,1.7
17-04-2024,Twitter,Image,POST00034,2875,83412,1127,439,199,364.87,#marketing,15107,1013.46,456,463,153.35,2,1.47
24-02-2024,Facebook,Reel,POST00035,24377,11078,3419,501,156,348,#branding,568,1439.75,151,442,98.34,7,4.97
04-03-2024,LinkedIn,Story,POST00036,47737,19124,2838,274,486,493.75,#digital,1139,1515.56,72,477,72.65,5,2.9
10-05-2024,TikTok,Video,POST00037,5033,39694,1657,849,347,116.45,#socialmedia,5940,568.87,411,487,121.39,8,2.43
20-02-2024,Instagram,Live,POST00038,39211,889,2993,75,133,332.85,#socialmedia,148,1626.71,203,31,145.25,9,2.62
14-05-2024,LinkedIn,Image,POST00039,18373,99803,152,438,399,306.79,#growth,15068,1713.21,391,273,189.13,11,4.65
21-01-2024,Twitter,Video,POST00040,4744,67891,2771,731,147,457.97,#digital,5372,2467.68,347,195,160.31,8,1.8
13-03-2024,LinkedIn,Live,POST00041,25995,14294,3445,859,335,82.4,#socialmedia,1216,284.69,296,283,78.82,2,3.97
15-06-2024,TikTok,Video,POST00042,17977,58502,4670,955,70,377.14,#socialmedia,7791,1226.49,455,361,124.97,6,4.7
18-01-2024,Instagram,Story,POST00043,33402,36031,2441,698,232,286.29,#growth,5510,449.43,270,456,183.12,3,1.59
11-05-2024,Instagram,Story,POST00044,35542,53315,4522,288,333,140.96,#branding,2836,271.96,119,412,48.27,2,1.85
29-03-2024,TikTok,Story,POST00045,11651,5486,1858,914,298,239.85,#socialmedia,188,481.18,360,312,162.07,4,1.13
29-02-2024,TikTok,Image,POST00046,34703,32798,2706,539,153,170.22,#marketing,333,801.35,93,128,31.01,2,3.89
14-01-2024,Twitter,Story,POST00047,14395,1981,1727,890,89,291.76,#marketing,80,780.56,373,409,61.53,7,4.87
09-01-2024,Instagram,Live,POST00048,30808,56908,3082,691,333,445.06,#branding,3861,1894.13,159,153,117.93,8,2.93
30-03-2024,LinkedIn,Video,POST00049,37576,69767,1077,252,198,286.81,#digital,7257,904.51,290,473,129.38,2,4.52
22-02-2024,Facebook,Reel,POST00050,17715,17335,2796,125,160,317.7,#growth,2113,1720.02,266,172,49.64,7,4.72
09-05-2024,Facebook,Live,POST00051,45409,28298,3801,176,25,261.78,#marketing,3064,1448.6,290,323,80.94,3,1.84
24-03-2024,TikTok,Live,POST00052,25306,92149,1298,36,120,30.33,#marketing,477,179.61,299,113,63.1,5,2.98
01-04-2024,Twitter,Story,POST00053,20086,65387,3881,409,300,120.26,#branding,7400,462.22,194,307,32.2,9,1.25
20-04-2024,Facebook,Image,POST00054,15376,19977,1816,610,211,248.54,#digital,1678,951.39,144,184,60.49,4,2.23
20-06-2024,Instagram,Video,POST00055,6889,17766,1514,609,62,158.57,#digital,2784,568.61,68,196,79.2,6,1.72
08-01-2024,TikTok,Image,POST00056,38822,86828,3318,126,450,94.97,#branding,9921,149.93,96,369,159.12,5,4.02
23-06-2024,LinkedIn,Video,POST00057,37636,86488,2961,482,435,254.55,#marketing,14892,1117.16,205,317,172.77,7,3.21
04-02-2024,TikTok,Video,POST00058,21584,44026,81,167,67,164.79,#growth,5769,838.92,356,231,157.28,2,2.06
21-03-2024,LinkedIn,Image,POST00059,35610,12389,1700,591,252,132.76,#marketing,1425,551.51,185,124,154.96,4,4.78
12-06-2024,TikTok,Live,POST00060,11058,24835,1354,293,409,234.67,#digital,4951,716.14,170,208,162.3,3,3.2
19-02-2024,TikTok,Video,POST00061,10101,11754,3313,844,458,70.98,#marketing,1107,351.79,450,50,56.42,4,1.84
13-04-2024,TikTok,Image,POST00062,13497,87110,3123,637,1,464.23,#growth,1991,2272.91,85,92,176.77,2,5
11-05-2024,LinkedIn,Video,POST00063,5658,11942,892,342,397,434.51,#socialmedia,1118,2067.91,302,408,23.24,11,3.92
02-01-2024,LinkedIn,Reel,POST00064,12381,46789,4244,309,107,355.27,#marketing,3443,1492.47,480,275,180.37,8,4.73
13-05-2024,TikTok,Live,POST00065,41312,54247,2672,661,285,57.58,#branding,990,218.09,246,23,154.09,4,4.8
23-02-2024,Facebook,Story,POST00066,41486,37827,1514,527,48,389.06,#socialmedia,3557,1810.3,173,446,38.37,8,4.68
15-04-2024,Twitter,Video,POST00067,47619,16699,2473,539,139,404.94,#branding,1940,963.89,71,439,55.58,9,4.38
04-01-2024,Twitter,Reel,POST00068,18154,73327,2563,418,217,385.04,#branding,3418,1867.15,333,260,51.89,8,2.04
